Método       |Estampilla de Tiempo       |Servidor       |Refiere       |URL                                                |Datos                    
GET          |1554436187398              |localhost      |              |/sitio_web_de_prueba/index.html                    |                         
GET          |1554436187468              |localhost      |localhost     |/sitio_web_de_prueba/styles.css                    |                         
GET          |1554436187526              |localhost      |localhost     |/sitio_web_de_prueba/imagotipo-ECCI-ver-negro.png  |                         
GET          |1554436187547              |localhost      |localhost     |/sitio_web_de_prueba/imagotipo-ECCI.png            |                         
GET          |1554436648427              |localhost      |              |/sitio_web_de_prueba                               |                         
GET          |1554436652064              |localhost      |              |/sitio_web_de_prueba                               |                         
GET          |1554436655062              |localhost      |              |/sitio_web_de_prueba/index.html                    |                         
GET          |1554436655126              |localhost      |localhost     |/sitio_web_de_prueba/styles.css                    |                         
GET          |1554436655142              |localhost      |localhost     |/sitio_web_de_prueba/imagotipo-ECCI.png            |                         
GET          |1554436655144              |localhost      |localhost     |/sitio_web_de_prueba/imagotipo-ECCI-ver-negro.png  |                         
